cluster centers:

(173187.549801, 723474.700199)
(173349.861873, 269205.114475)
(725271.930968, 727924.221477)
(524051.235004, 265186.925226)
(726329.688557, 450640.604975)
(266074.390385, 355935.335577)
(821844.430439, 174633.563025)
(448137.826546, 560168.060332)
(358660.524242, 726334.522222)
(913362.160563, 215482.301408)
(725286.376884, 174417.174874)
(261863.152908, 450151.467167)
(747723.506767, 358319.35188)
(629919.545455, 359442.964523)
(542802.161128, 81223.2990937)
(449892.667, 911824.011)
(266130.315895, 725913.386318)
(196443.352612, 819172.679104)
(541650.536145, 635530.201807)
(635413.085216, 172112.838809)
(84004.8571429, 112387.687075)
(910920.416667, 89961.497449)
(80720.8783383, 355961.956479)
(173749.515774, 505967.45708)
(542675.785933, 818021.205912)
(632911.44713, 542684.626385)
(358302.650301, 541696.967936)
(263970.836147, 173604.822244)
(396442.071695, 264913.389096)
(274972.017921, 265074.182796)
(358049.231161, 910948.160896)
(173490.767358, 626515.333634)
(728342.219823, 540930.448479)
(450236.599812, 350734.354049)
(269324.873284, 818120.365364)
(451183.293037, 80769.770793)
(173535.804579, 376011.55928)
(150683.242308, 77599.4865385)
(357034.633595, 354472.916503)
(909659.98982, 898928.646045)
(823040.703125, 359323.085417)
(450401.612661, 442547.175966)
(81873.8271078, 723994.075774)
(448696.024598, 175655.854305)
(192853.195326, 84392.0717863)
(634556.131731, 818803.755769)
(822044.313933, 817225.63933)
(357090.497482, 819231.380665)
(912765.66577, 770761.080699)
(449533.932087, 819876.037402)
(822823.826415, 266810.54717)
(356443.46339, 634721.378134)
(81914.9672294, 542477.168818)
(542694.61167, 544538.584507)
(911837.977451, 448798.089216)
(727454.110212, 265668.557128)
(171536.762729, 911799.209776)
(355876.741245, 176347.892023)
(80567.0360262, 913613.812227)
(699567.314501, 356428.378531)
(633308.991018, 81022.248503)
(265556.376712, 911215.279843)
(543391.25, 174010.999008)
(542718.841633, 450359.601594)
(790418.699928, 914486.553482)
(631139.885875, 266170.936389)
(540295.471357, 727493.891457)
(727393.562622, 81362.1320939)
(358324.455455, 82649.6656657)
(907037.689406, 644966.490369)
(819761.345083, 453076.599258)
(357092.480826, 450365.962635)
(546394.49672, 910007.559513)
(172576.326347, 173736.745509)
(155190.985173, 818293.436573)
(85682.7815668, 448871.797235)
(79041.7711111, 179683.547778)
(818171.18513, 571003.939777)
(261748.233831, 542513.687562)
(449980.242455, 725135.020121)
(631684.152107, 726692.752312)
(84268.5871212, 841055.168561)
(820807.539033, 705532.040892)
(269083.914376, 80782.4830867)
(634704.388235, 633048.022549)
(452890.29291, 514268.875)
(542312.317298, 357489.315251)
(73945.6377816, 797481.514731)
(731783.642463, 633885.477941)
(912229.869992, 340821.930499)
(908461.370797, 543418.644573)
(80931.0132789, 265741.180797)
(632898.962626, 449768.862626)
(265683.201396, 632101.840479)
(450350.209746, 636701.174788)
(658748.408569, 912720.754399)
(80149.1487685, 633013.5133)
(74614.3193548, 69531.4032258)
(818495.592929, 80167.4616162)
(727247.442446, 827437.598921)
